ID,SMILES,M-fortuitum,M-kansasii,M-bovis,M-tuberculosis-MABA,M-tuberculosis-LORA,M-smegmatis,M-abcessus,M-tuberculosis-BACTEC,task_concatenada
12290,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc([N+](=O)[O-])c(N3CCn4cc(C(=O)O)nc4C3)cc21,,,,,,0.0,,,1.0
555,N#Cc1cnc(C(N)=O)c(NCc2cccc(C(F)(F)F)c2)n1,,0.0,,,,,,,0.0
15789,CCCCCCCCOCC(N)=O,,,,,,,,0.0,
8935,COc1nc(C)nc(N=Cc2ccc(N(C)C)cc2)n1,,,,0.0,,,,,
346,O=C(Nc1ccc2[nH]c(C(F)(F)F)nc2c1)c1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,0.0,,,,,,0.0,,0.0
5561,O=S(=O)(c1ccc(Cl)cc1Cl)N1CCC2(CC1)OCCc1ccsc12,,,,0.0,,,,,
1603,Cc1cc(=O)n2c3c(c4c(cc13)c(COC(=O)CCCc1cn(CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCCCC3SCC5NC(=O)NC53)nn1)cc(=O)n4C)OC2,,,1.0,,,0.0,,,
8140,COc1ccc(-c2nc3sc(-c4ccc(F)cc4)nn3c2-c2ccc(OC)cc2)cc1,,,,0.0,,,,,
10776,CN(C)c1cc2[nH]c(Cc3ccccc3)nc2cc1NC(=O)c1ccc(F)cc1F,,,,1.0,,,,,
5000,C=CC1(C)CC2=C(CC1C(=C)C)C(O)C=CC2O,,,,0.0,,,,,
2237,CN(C)C(=O)C=CC(=O)c1ccc(Cl)cc1Cl,,,,1.0,,,,,
12929,CCCc1cc(=O)[nH]c(N2NC(C)=CC2NC(=O)c2ccccc2Cl)n1,,,,,,1.0,,,
6268,COc1cc(C=Cc2cc(C=Cc3ccc(OC(C)=O)c(OC)c3)on2)ccc1OC(C)=O,,,,1.0,,,,,
16934,O=C1c2ccccc2C(=O)C12C(c1ccccc1)C1CSCN1C21C(=O)Nc2ccc(Cl)cc21,,,,,,,,,0.0
1748,O=C(CN1C(=O)C2(OCCO2)c2ccccc21)c1ccccc1F,,,,1.0,,,,,
2657,CCOC(=O)C1C(C)=NC(=S)NC1c1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1,,,,0.0,,,,,
13607,COc1ccc(CC(=O)Nc2cc(-c3ccccc3)nc3ncnn23)cc1,,,,,,1.0,,,
2155,O=c1[nH]c2c(cc1CNCc1cc(C(F)(F)F)ccc1F)c(C1CC1)nn2-c1ccccc1,,,,1.0,,,,,1.0
14845,COc1cccc(-c2nc3ccccc3c(=O)n2OC(=O)c2cccc(Cl)c2)c1,,,,,,,,,0.0
16533,CC(=O)OCC12C(OC(=O)c3ccccc3)CC3C(OC(C)=O)C1(OC3(C)C)C(C)CC(OC(C)=O)C2O,,,,,,,,,0.0
11249,CCNc1n[n+]([O-])c2cc(OC)ccc2[n+]1[O-],,,,0.0,0.0,,,,
5393,COc1ccc(-c2c(C#N)[n+]([O-])c3cc(C)ccc3[n+]2[O-])cc1,,,,1.0,,,,,
3693,O=C(C=Cc1ccc([N+](=O)[O-])o1)c1ccc(Cl)cc1,,,,1.0,,,,,
8063,Cc1ccc(Cn2cc(COCc3ccc4c(c3)Sc3ccccc3N4C)nn2)cc1,,,,0.0,,,,,
832,COc1cc(Cl)ccc1C(=S)Nc1ccc(Cl)cc1,,0.0,,,,,,,1.0
5287,COc1cc2ccc(C#N)cc2cc1C(c1cccc(F)c1)C(O)(CCN(C)C)c1cc2ccccc2o1,,,,1.0,1.0,,,,
6165,O=[N+]([O-])c1cn(Cc2ccc(OC(F)(F)F)cc2)c(C(O)=NO)n1,,,,0.0,,,,,
10055,COc1ncc(-c2ccc(C(F)(F)F)cc2)cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,,,,1.0,,,,,
12283,COc1ccc(CC2C3=C(CCCC3)CCN2c2cc3c(cc2[N+](=O)[O-])c(=O)c(C(=O)O)cn3C2CC2)cc1,,,,,,0.0,,,1.0
6759,COc1cc(NC(C)CCCNC(=O)NNC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)c2ncccc2c1,,,,1.0,,,,,
2454,O=C(NCc1ccc2c(c1)CN(Cc1ccc(F)cc1)C2)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,,,,0.0,,,,,
219,COc1cc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)ccc1-n1cnc(Cl)c1,0.0,,,0.0,,1.0,,,
8643,Cc1cnc(N2CCSCC2)c(Cn2cc(C=NNC(=O)c3ccc(C(F)(F)F)cc3)nn2)c1,,,,1.0,,,,,
8946,CCCOc1ccc(-c2nc(C(=O)OCc3ccccc3)co2)cc1,,,,1.0,,,,,
